from_asset,to_asset,commission_year,producer_efficiency
LV_E_Demand,LV_electrolyzer,2050,1.0
LV_Gas,LV_E_Demand,2050,1.0
LV_Hydro,LV_E_Demand,2050,1.0
LV_Solar,LV_E_Demand,2050,1.0
LV_Wind_Offshore,LV_E_Demand,2050,1.0
LV_Wind_Onshore,LV_E_Demand,2050,1.0
LV_electrolyzer,LV_H_Demand,2050,0.65
MT_E_Demand,IT_E_Demand,2050,
MT_E_Demand,MT_electrolyzer,2050,1.0
MT_Gas,MT_E_Demand,2050,1.0
MT_Solar,MT_E_Demand,2050,1.0
MT_electrolyzer,MT_H_Demand,2050,0.65
NL_Battery,NL_E_Demand,2050,0.955
NL_E_Demand,BE_E_Demand,2050,
NL_E_Demand,NL_Battery,2050,0.955
NL_E_Demand,NL_electrolyzer,2050,1.0
NL_Gas,NL_E_Demand,2050,1.0
NL_OCGT,NL_E_Demand,2050,1.0
NL_Solar,NL_E_Demand,2050,1.0
NL_Wind_Offshore,NL_E_Demand,2050,1.0
NL_Wind_Onshore,NL_E_Demand,2050,1.0
NL_electrolyzer,NL_H_Demand,2050,0.65
NO_E_Demand,DE_E_Demand,2050,
NO_E_Demand,DK_E_Demand,2050,
NO_E_Demand,NL_E_Demand,2050,
NO_E_Demand,NO_Pump_Hydro_Open,2050,0.875
NO_E_Demand,NO_electrolyzer,2050,1.0
NO_E_Demand,SE_E_Demand,2050,
NO_E_Demand,UK_E_Demand,2050,
NO_Hydro_Reservoir,NO_E_Demand,2050,1.0
NO_Pump_Hydro_Open,NO_E_Demand,2050,0.875
NO_Solar,NO_E_Demand,2050,1.0
NO_Wind_Offshore,NO_E_Demand,2050,1.0
NO_Wind_Onshore,NO_E_Demand,2050,1.0
NO_electrolyzer,NO_H_Demand,2050,0.65
OBZLL_E_Demand,NL_E_Demand,2050,
OBZLL_E_Demand,OBZLL_electrolyzer,2050,1.0
OBZLL_E_Demand,UK_E_Demand,2050,
OBZLL_Wind_Offshore,OBZLL_E_Demand,2050,1.0
OBZLL_electrolyzer,OBZLL_H_Demand,2050,0.65
PL_Coal,PL_E_Demand,2050,1.0
PL_E_Demand,CZ_E_Demand,2050,
PL_E_Demand,DE_E_Demand,2050,
PL_E_Demand,DK_E_Demand,2050,
PL_E_Demand,PL_Pump_Hydro_Closed,2050,0.875
PL_E_Demand,PL_Pump_Hydro_Open,2050,0.875
PL_E_Demand,PL_electrolyzer,2050,1.0
PL_Gas,PL_E_Demand,2050,1.0
PL_Hydro,PL_E_Demand,2050,1.0
PL_Hydro_Reservoir,PL_E_Demand,2050,1.0
PL_Pump_Hydro_Closed,PL_E_Demand,2050,0.875
PL_Pump_Hydro_Open,PL_E_Demand,2050,0.875
PL_Solar,PL_E_Demand,2050,1.0
PL_Wind_Offshore,PL_E_Demand,2050,1.0
PL_Wind_Onshore,PL_E_Demand,2050,1.0
PL_electrolyzer,PL_H_Demand,2050,0.65
PT_Battery,PT_E_Demand,2050,0.955
PT_E_Demand,ES_E_Demand,2050,
PT_E_Demand,PT_Pump_Hydro_Open,2050,0.875
PT_E_Demand,PT_electrolyzer,2050,1.0
PT_Gas,PT_E_Demand,2050,1.0
PT_Hydro,PT_E_Demand,2050,1.0
PT_Hydro_Reservoir,PT_E_Demand,2050,1.0
PT_Pump_Hydro_Open,PT_E_Demand,2050,0.875
PT_Solar,PT_E_Demand,2050,1.0
PT_Wind_Offshore,PT_E_Demand,2050,1.0
PT_Wind_Onshore,PT_E_Demand,2050,1.0
PT_electrolyzer,PT_H_Demand,2050,0.65
RO_Battery,RO_E_Demand,2050,0.955
RO_Coal,RO_E_Demand,2050,1.0
RO_E_Demand,BG_E_Demand,2050,
RO_E_Demand,HU_E_Demand,2050,
RO_E_Demand,RO_Battery,2050,0.955
RO_E_Demand,RO_Pump_Hydro_Open,2050,0.875
RO_E_Demand,RO_electrolyzer,2050,1.0
RO_Gas,RO_E_Demand,2050,1.0
RO_Hydro,RO_E_Demand,2050,1.0
RO_Hydro_Reservoir,RO_E_Demand,2050,1.0
RO_Nuclear,RO_E_Demand,2050,1.0
RO_OCGT,RO_E_Demand,2050,1.0
RO_Pump_Hydro_Open,RO_E_Demand,2050,0.875
