asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
LV_H_Demand,2050,,,0.0000000000,0.0
LV_Hydro,2050,,0.0,0.0000000000,0.0
LV_Solar,2050,34342.98027538492,1.815,0.0000000000,0.0
LV_Wind_Offshore,2050,119732.61777406993,22.5,0.0000000000,0.0
LV_Wind_Onshore,2050,77356.32865703155,1.056,0.0000000000,0.0
LV_electrolyzer,2050,800000.00000000000,0.924657534,0.0000000000,0.0
MT_E_Demand,2050,,,0.0000000000,0.0
MT_Gas,2050,95000.00000000000,1.35,0.0000000000,0.0
MT_H_Demand,2050,,,0.0000000000,0.0
MT_Solar,2050,34342.98027538492,1.1219999999999999,0.0000000000,0.0
MT_electrolyzer,2050,800000.00000000000,0.205479453,0.0000000000,0.0
NL_Battery,2050,77577.85030576670,156.882,19394.4625764417,313.764
NL_E_Demand,2050,,,0.0000000000,0.0
NL_Gas,2050,95000.00000000000,45.75,0.0000000000,0.0
NL_H_Demand,2050,,,0.0000000000,0.0
NL_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
NL_Solar,2050,34342.98027538492,299.952,0.0000000000,0.0
NL_Wind_Offshore,2050,119732.61777406993,148.959,0.0000000000,0.0
NL_Wind_Onshore,2050,77356.32865703155,60.0,0.0000000000,0.0
NL_electrolyzer,2050,800000.00000000000,48.01369863,0.0000000000,0.0
NO_E_Demand,2050,,,0.0000000000,0.0
NO_H_Demand,2050,,,0.0000000000,0.0
NO_Hydro_Reservoir,2050,,92.184,0.0000000000,0.0
NO_Pump_Hydro_Open,2050,,2.2800000000000002,0.0000000000,0.0
NO_Solar,2050,34342.98027538492,35.82,0.0000000000,0.0
NO_Wind_Offshore,2050,119732.61777406993,29.840999999999998,0.0000000000,0.0
NO_Wind_Onshore,2050,77356.32865703155,20.772000000000002,0.0000000000,0.0
NO_electrolyzer,2050,800000.00000000000,27.098685494999998,0.0000000000,0.0
OBZLL_E_Demand,2050,,,0.0000000000,0.0
OBZLL_H_Demand,2050,,,0.0000000000,0.0
OBZLL_Wind_Offshore,2050,119732.61777406993,6.0,0.0000000000,0.0
OBZLL_electrolyzer,2050,800000.00000000000,0.0,0.0000000000,0.0
PL_Coal,2050,420000.00000000000,7.4879999999999995,0.0000000000,0.0
PL_E_Demand,2050,,,0.0000000000,0.0
PL_Gas,2050,95000.00000000000,24.669000000000004,0.0000000000,0.0
PL_H_Demand,2050,,,0.0000000000,0.0
PL_Hydro,2050,,2.382,0.0000000000,0.0
PL_Hydro_Reservoir,2050,,0.8160000000000001,0.0000000000,0.0
PL_Pump_Hydro_Closed,2050,,3.969,0.0000000000,0.0
PL_Pump_Hydro_Open,2050,,0.648,0.0000000000,0.0
PL_Solar,2050,34342.98027538492,162.909,0.0000000000,0.0
PL_Wind_Offshore,2050,119732.61777406993,32.7,0.0000000000,0.0
PL_Wind_Onshore,2050,77356.32865703155,186.0,0.0000000000,0.0
PL_electrolyzer,2050,800000.00000000000,44.82876711,0.0000000000,0.0
PT_Battery,2050,77577.85030576670,9.882,19394.4625764417,19.764
PT_E_Demand,2050,,,0.0000000000,0.0
PT_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
PT_H_Demand,2050,,,0.0000000000,0.0
PT_Hydro,2050,,12.812999999999999,0.0000000000,0.0
PT_Hydro_Reservoir,2050,,11.298,0.0000000000,0.0
PT_Pump_Hydro_Open,2050,,11.495999999999999,0.0000000000,0.0
PT_Solar,2050,34342.98027538492,87.0,0.0000000000,0.0
PT_Wind_Offshore,2050,119732.61777406993,29.933999999999997,0.0000000000,0.0
PT_Wind_Onshore,2050,77356.32865703155,39.0,0.0000000000,0.0
PT_electrolyzer,2050,800000.00000000000,10.547945205,0.0000000000,0.0
RO_Battery,2050,77577.85030576670,4.038,19394.4625764417,8.076
RO_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
RO_E_Demand,2050,,,0.0000000000,0.0
RO_Gas,2050,95000.00000000000,17.52,0.0000000000,0.0
RO_H_Demand,2050,,,0.0000000000,0.0
RO_Hydro,2050,,17.874000000000002,0.0000000000,0.0
RO_Hydro_Reservoir,2050,,7.737,0.0000000000,0.0
RO_Nuclear,2050,950000.00000000000,9.261000000000001,0.0000000000,0.0
RO_OCGT,2050,55000.00000000000,0.501,0.0000000000,0.0
RO_Pump_Hydro_Open,2050,,2.517,0.0000000000,0.0
RO_Solar,2050,34342.98027538492,102.58200000000001,0.0000000000,0.0
RO_Wind_Offshore,2050,119732.61777406993,3.0,0.0000000000,0.0
RO_Wind_Onshore,2050,77356.32865703155,27.0,0.0000000000,0.0
RO_electrolyzer,2050,800000.00000000000,14.691780821999998,0.0000000000,0.0
SE_Battery,2050,77577.85030576670,1.629,19394.4625764417,3.258
SE_E_Demand,2050,,,0.0000000000,0.0
SE_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
SE_H_Demand,2050,,,0.0000000000,0.0
SE_Hydro_Reservoir,2050,,49.340999999999994,0.0000000000,0.0
