scenario,ccgt,ocgt,solar,wind,wind_offshore,electrolizer,battery,objective_value,termination_status,solve_time
110,45519.714415470735,2584.031916642549,0.0,50740.691955586844,0.0,0.10335461025951627,5451.318136534518,2.0179046380246602e7,OPTIMAL,4.9587607
111,44259.676338335,8878.500654796604,5932.119530968726,49070.275349776,0.0,0.10754378933968267,1811.1040492654483,2.0839942937243722e7,OPTIMAL,9.4794623
112,46943.53693796498,4786.8553575807755,8476.001409975323,9080.97572521085,0.0,0.10402870451970292,5449.552424680236,2.1544306708021194e7,OPTIMAL,6.6051309
113,46020.74733647188,3207.412814872383,1383.8860952453072,47486.11763184784,0.0,0.1038038884192729,3829.5814086203445,2.0924366876269218e7,OPTIMAL,7.1480378
114,46817.38073750983,3588.2555287853174,0.0,45287.60992429073,0.0,0.10174034110685702,3784.8342382783035,2.0954872163378585e7,OPTIMAL,7.4509593
115,45523.05990635579,4819.059857885264,6335.737312189622,44048.54480615587,0.0,0.10032438952103886,2516.939072558189,2.1105479717404258e7,OPTIMAL,8.4372583
116,43346.1484170233,4905.852150412827,3699.0398768771875,53020.01590781282,0.0,0.10064068241830158,3705.541704940328,1.9339539259352166e7,OPTIMAL,14.9466728
117,44449.959608307356,3470.6059755938254,12087.193810221946,46548.276650821,0.0,0.10219379764654271,4741.779041861263,2.0737945387384772e7,OPTIMAL,5.2683913
118,45615.23210576371,3324.195233155135,3935.721523150159,51161.533714333586,0.0,0.10487626478117756,6286.8952239142745,2.0850587296913147e7,OPTIMAL,4.677683
119,45182.857770853225,5721.110270350917,6119.359643304818,46986.46314790691,0.0,0.10072677499651757,3183.7324555249215,2.1140731416931506e7,OPTIMAL,5.2098434
120,44198.14992401341,5138.6116423792055,3319.628817841826,50335.09163390336,0.0,0.1021534741901225,2448.7241853923692,2.0557723747682974e7,OPTIMAL,6.8418581
121,48025.50106514736,4982.037051966636,0.0,44960.02850792693,0.0,0.10548610838982726,5619.734144436089,2.1547798752077594e7,OPTIMAL,7.47935
122,46399.721574518175,4074.548004436272,6817.737880962246,47161.60503000601,0.0,0.10641426532608529,3120.9106962986066,2.1112774908940755e7,OPTIMAL,6.7287699
123,46601.319387646916,3615.694269483205,2335.8326229635504,45271.796950098425,0.0,0.10379710786950602,5975.747826292943,2.1115627889358494e7,OPTIMAL,4.9850854
124,45188.83104105177,4833.445953404024,9622.935094183147,50409.04937508679,0.0,0.10626983815980261,9122.540536884444,2.1112168494790915e7,OPTIMAL,4.5830607
125,46833.67009895342,3251.6249790242,0.0,37657.48783703482,4669.574285137742,0.10616103402687749,6796.784142977092,2.1540407212005746e7,OPTIMAL,6.0437584
126,45735.06323417687,5707.772397961287,3291.767108305193,45377.64366478625,0.0,0.106683834948593,6196.490403495293,2.1309286702130474e7,OPTIMAL,7.8915486
127,49793.46104269772,2842.8934238211104,0.0,6930.020715114272,0.0,0.10950547753142743,3087.6531698418075,2.147158252441327e7,OPTIMAL,6.5786037
128,43762.24916270907,3567.098964375109,10738.168201981169,51545.952184146816,0.0,0.10617442757910976,7589.333195152304,2.0958157007819448e7,OPTIMAL,6.2383899
129,46322.848637049916,6323.623884754816,1400.9032766301625,49924.748496765045,0.0,0.10946745562130165,1307.049280118801,2.0842211946324617e7,OPTIMAL,8.1630966
130,44218.361544134226,4695.956001234584,14409.34614110368,50444.06171609755,0.0,0.10042986994284875,2464.412122354761,2.069107171631093e7,OPTIMAL,16.5931008
131,48357.13292057793,4112.577992045517,0.0,15164.509009634861,0.0,0.10445377616593508,5296.903294419979,2.158400080079987e7,OPTIMAL,6.6350417
132,43619.40265233104,5521.35901999566,3738.0820326885414,53231.233532298065,0.0,0.1005126781022365,6869.357488364505,2.0176520369755685e7,OPTIMAL,8.8579372
133,49264.79151297347,3108.7737839960446,270.43399772848596,36417.04009185128,0.0,0.1004426802815446,2869.1881072186493,2.1836161672410756e7,OPTIMAL,9.0794574
134,42532.504729361506,7079.902852077384,22012.429778357044,47802.39187628389,0.0,0.10645508337816048,2610.2854424999623,2.0674975789428595e7,OPTIMAL,5.5606347
135,45131.24732114071,4095.381812366335,0.0,50001.24166806407,0.0,0.10455166135639518,5209.116701424747,2.0407579761180174e7,OPTIMAL,6.6034089
136,46267.4833085714,5011.139721044037,0.0,46796.398176827235,0.0,0.10641426532608522,2004.2559601844355,2.08898252812533e7,OPTIMAL,5.3902755
137,44656.36414130505,4569.895048605418,12286.689005148586,46071.35177391808,0.0,0.12958579881656818,3637.906112225359,2.134626112792111e7,OPTIMAL,5.1273039
138,45366.07571354461,4085.166260185335,0.0,47217.64764354462,0.0,0.13737153534724386,4574.400805003612,2.0758608843326867e7,OPTIMAL,4.6164692
139,44694.40174732206,3816.0042469450377,7022.1853522124175,48805.65072737903,0.0,0.10275818080737127,6816.916898232748,2.056751096670953e7,OPTIMAL,6.848477
140,45890.55161941363,4589.469600035227,12538.173346867306,45034.97522995776,0.0,0.10035047343119352,3807.6698634820677,2.099710772880263e7,OPTIMAL,13.2074659
141,45712.26728300835,4622.643630502375,1612.8562162952344,50028.28215850155,0.0,0.10834137059145521,4536.8206619199855,2.047470224513058e7,OPTIMAL,5.4267453
142,42115.255378114445,3075.782079949713,16603.354089947126,51221.48695516784,0.0,0.11227262765724302,13534.948482146487,2.0454763414409705e7,OPTIMAL,5.0020456
143,43879.72921211457,3279.665140053257,8198.806395333446,49404.18033036596,0.0,0.11056635672020275,5983.2499151977845,2.0604932353173584e7,OPTIMAL,8.0032561
144,43993.15349736475,5616.396591490333,10005.937680935189,48417.31790184759,0.0,0.10385203890559287,3235.582841373296,2.0777640909661554e7,OPTIMAL,5.2165655
