asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
NL_Solar,2050,34342.98027538492,199.968,0.0000000000,0.0
NL_Wind_Offshore,2050,119732.61777406993,99.306,0.0000000000,0.0
NL_Wind_Onshore,2050,77356.32865703155,40.0,0.0000000000,0.0
NL_electrolyzer,2050,800000.00000000000,32.00913242,0.0000000000,0.0
NO_E_Demand,2050,,,0.0000000000,0.0
NO_E_ENS,2050,,60.2193011,0.0000000000,0.0
NO_H_Demand,2050,,,0.0000000000,0.0
NO_Hydro_Reservoir,2050,,61.456,0.0000000000,0.0
NO_Pump_Hydro_Open,2050,,1.52,0.0000000000,0.0
NO_Solar,2050,34342.98027538492,23.88,0.0000000000,0.0
NO_Wind_Offshore,2050,119732.61777406993,19.894,0.0000000000,0.0
NO_Wind_Onshore,2050,77356.32865703155,13.848,0.0000000000,0.0
NO_electrolyzer,2050,800000.00000000000,18.06579033,0.0000000000,0.0
OBZLL_E_Demand,2050,,,0.0000000000,0.0
OBZLL_H_Demand,2050,,,0.0000000000,0.0
OBZLL_Wind_Offshore,2050,119732.61777406993,4.0,0.0000000000,0.0
OBZLL_electrolyzer,2050,800000.00000000000,0.0,0.0000000000,0.0
PL_Coal,2050,420000.00000000000,7.4879999999999995,0.0000000000,0.0
PL_E_Demand,2050,,,0.0000000000,0.0
PL_E_ENS,2050,,100.94029602,0.0000000000,0.0
PL_Gas,2050,95000.00000000000,24.669000000000004,0.0000000000,0.0
PL_H_Demand,2050,,,0.0000000000,0.0
PL_Hydro,2050,,2.382,0.0000000000,0.0
PL_Hydro_Reservoir,2050,,0.8160000000000001,0.0000000000,0.0
PL_Pump_Hydro_Closed,2050,,3.969,0.0000000000,0.0
PL_Pump_Hydro_Open,2050,,0.648,0.0000000000,0.0
PL_Solar,2050,34342.98027538492,162.909,0.0000000000,0.0
PL_Wind_Offshore,2050,119732.61777406993,32.7,0.0000000000,0.0
PL_Wind_Onshore,2050,77356.32865703155,186.0,0.0000000000,0.0
PL_electrolyzer,2050,800000.00000000000,44.82876711,0.0000000000,0.0
PT_Battery,2050,77577.85030576670,6.588,19394.4625764417,19.764
PT_E_Demand,2050,,,0.0000000000,0.0
PT_E_ENS,2050,,37.82134938,0.0000000000,0.0
PT_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
PT_H_Demand,2050,,,0.0000000000,0.0
PT_Hydro,2050,,8.542,0.0000000000,0.0
PT_Hydro_Reservoir,2050,,7.532,0.0000000000,0.0
PT_Pump_Hydro_Open,2050,,7.664,0.0000000000,0.0
PT_Solar,2050,34342.98027538492,58.0,0.0000000000,0.0
PT_Wind_Offshore,2050,119732.61777406993,19.956,0.0000000000,0.0
PT_Wind_Onshore,2050,77356.32865703155,26.0,0.0000000000,0.0
PT_electrolyzer,2050,800000.00000000000,7.03196347,0.0000000000,0.0
RO_Battery,2050,77577.85030576670,2.692,19394.4625764417,8.076
RO_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
RO_E_Demand,2050,,,0.0000000000,0.0
RO_E_ENS,2050,,28.5382896,0.0000000000,0.0
RO_Gas,2050,95000.00000000000,11.68,0.0000000000,0.0
RO_H_Demand,2050,,,0.0000000000,0.0
RO_Hydro,2050,,11.916,0.0000000000,0.0
RO_Hydro_Reservoir,2050,,5.158,0.0000000000,0.0
RO_Nuclear,2050,950000.00000000000,6.174,0.0000000000,0.0
RO_OCGT,2050,55000.00000000000,0.334,0.0000000000,0.0
RO_Pump_Hydro_Open,2050,,1.678,0.0000000000,0.0
RO_Solar,2050,34342.98027538492,68.388,0.0000000000,0.0
RO_Wind_Offshore,2050,119732.61777406993,2.0,0.0000000000,0.0
RO_Wind_Onshore,2050,77356.32865703155,18.0,0.0000000000,0.0
RO_electrolyzer,2050,800000.00000000000,9.794520548,0.0000000000,0.0
SE_Battery,2050,77577.85030576670,1.086,19394.4625764417,3.258
SE_E_Demand,2050,,,0.0000000000,0.0
SE_E_ENS,2050,,61.0007826,0.0000000000,0.0
SE_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
SE_H_Demand,2050,,,0.0000000000,0.0
SE_Hydro_Reservoir,2050,,32.894,0.0000000000,0.0
SE_Nuclear,2050,950000.00000000000,23.2,0.0000000000,0.0
SE_OCGT,2050,55000.00000000000,0.194,0.0000000000,0.0
SE_Solar,2050,34342.98027538492,93.0,0.0000000000,0.0
SE_Wind_Offshore,2050,119732.61777406993,29.2,0.0000000000,0.0
SE_Wind_Onshore,2050,77356.32865703155,98.2,0.0000000000,0.0
SE_electrolyzer,2050,800000.00000000000,17.328767124,0.0000000000,0.0
SI_Battery,2050,77577.85030576670,0.13,19394.4625764417,0.39
SI_Coal,2050,420000.00000000000,1.15,0.0000000000,0.0
SI_E_Demand,2050,,,0.0000000000,0.0
SI_E_ENS,2050,,6.2879712,0.0000000000,0.0
SI_Gas,2050,95000.00000000000,4.564,0.0000000000,0.0
SI_H_Demand,2050,,,0.0000000000,0.0
SI_Hydro,2050,,0.624,0.0000000000,0.0
SI_Nuclear,2050,950000.00000000000,2.2,0.0000000000,0.0
SI_OCGT,2050,55000.00000000000,2.252,0.0000000000,0.0
SI_Pump_Hydro_Closed,2050,,0.36,0.0000000000,0.0
SI_Solar,2050,34342.98027538492,71.896,0.0000000000,0.0
SI_Wind_Offshore,2050,119732.61777406993,6.4,0.0000000000,0.0
SI_Wind_Onshore,2050,77356.32865703155,15.108,0.0000000000,0.0
SI_electrolyzer,2050,800000.00000000000,1.301369864,0.0000000000,0.0
SK_Battery,2050,77577.85030576670,4.924,19394.4625764417,14.772
SK_Coal,2050,420000.00000000000,0.502,0.0000000000,0.0
SK_E_Demand,2050,,,0.0000000000,0.0
SK_E_ENS,2050,,12.7169736,0.0000000000,0.0
SK_Gas,2050,95000.00000000000,2.682,0.0000000000,0.0
SK_H_Demand,2050,,,0.0000000000,0.0
SK_Hydro,2050,,2.892,0.0000000000,0.0
SK_Hydro_Reservoir,2050,,0.042,0.0000000000,0.0
SK_Nuclear,2050,950000.00000000000,6.192,0.0000000000,0.0
SK_Pump_Hydro_Closed,2050,,1.3,0.0000000000,0.0
SK_Pump_Hydro_Open,2050,,0.552,0.0000000000,0.0
SK_Solar,2050,34342.98027538492,10.0,0.0000000000,0.0
SK_Wind_Onshore,2050,77356.32865703155,4.0,0.0000000000,0.0
SK_electrolyzer,2050,800000.00000000000,5.433789954,0.0000000000,0.0
UK_Battery,2050,77577.85030576670,25.864,19394.4625764417,77.592
UK_E_Demand,2050,,,0.0000000000,0.0
UK_E_ENS,2050,,237.2604948,0.0000000000,0.0
UK_Gas,2050,95000.00000000000,19.01,0.0000000000,0.0
UK_H_Demand,2050,,,0.0000000000,0.0
UK_Hydro,2050,,5.026,0.0000000000,0.0
UK_Nuclear,2050,950000.00000000000,32.0,0.0000000000,0.0
UK_OCGT,2050,55000.00000000000,2.486,0.0000000000,0.0
UK_Pump_Hydro_Closed,2050,,5.488,0.0000000000,0.0
UK_Solar,2050,34342.98027538492,127.43,0.0000000000,0.0
UK_Wind_Offshore,2050,119732.61777406993,220.916,0.0000000000,0.0
UK_Wind_Onshore,2050,77356.32865703155,107.836,0.0000000000,0.0
UK_electrolyzer,2050,800000.00000000000,71.17814844,0.0000000000,0.0
